country,population,year
GIN,9824572,2011
GIN,10083976,2012
GIN,10351174,2013
GIN,10631955,2014
GIN,10924395,2015
GIN,11224776,2016
GIN,11534306,2017
GIN,11855411,2018
GIN,12186420,2019
GMB,1319628,1999
GMB,1356581,2000
GMB,1393296,2001
GMB,1430711,2002
GMB,1468917,2003
GMB,1508001,2004
GMB,1547905,2005
GMB,1588501,2006
GMB,1629648,2007
GMB,1671296,2008
GMB,1713278,2009
GMB,1755456,2010
GMB,1797860,2011
GMB,1840454,2012
GMB,1883051,2013
GMB,1925527,2014
GMB,1967709,2015
GMB,2009648,2016
GMB,2051363,2017
GMB,2092731,2018
GMB,2133640,2019
GNB,1182537,1999
GNB,1207665,2000
GNB,1233497,2001
GNB,1260374,2002
GNB,1288445,2003
GNB,1317452,2004
GNB,1347728,2005
GNB,1379383,2006
GNB,1412264,2007
GNB,1446297,2008
GNB,1481090,2009
GNB,1516078,2010
GNB,1551450,2011
GNB,1587244,2012
GNB,1624345,2013
GNB,1663186,2014
GNB,1703302,2015
GNB,1745203,2016
GNB,1788610,2017
GNB,1833247,2018
GNB,1879407,2019
GNQ,477538,1999
GNQ,491483,2000
GNQ,505919,2001
GNQ,520764,2002
GNQ,535927,2003
GNQ,551415,2004
GNQ,567232,2005
GNQ,583355,2006
GNQ,599763,2007
GNQ,616459,2008
GNQ,633441,2009
GNQ,650702,2010
GNQ,668225,2011
GNQ,685991,2012
GNQ,704001,2013
GNQ,722254,2014
GNQ,740743,2015
GNQ,759451,2016
GNQ,778358,2017
GNQ,797457,2018
GNQ,816736,2019
GRC,10872691,1999
GRC,10925795,2000
GRC,10993255,2001
GRC,11019745,2002
GRC,11009594,2003
GRC,10999476,2004
GRC,10990646,2005
GRC,10985750,2006
GRC,10982200,2007
GRC,10996346,2008
GRC,11025521,2009
GRC,11039844,2010
GRC,11017574,2011
GRC,10948200,2012
GRC,10872247,2013
GRC,10801129,2014
GRC,10728157,2015
GRC,10703982,2016
GRC,10698163,2017
GRC,10669474,2018
GRC,10639551,2019
GRD,100985,1999
GRD,101609,2000
GRD,102294,2001
GRD,102835,2002
GRD,103320,2003
GRD,103969,2004
GRD,104592,2005
GRD,105202,2006
GRD,105887,2007
GRD,106555,2008
GRD,107199,2009
GRD,107818,2010
GRD,108419,2011
GRD,109011,2012
GRD,109590,2013
GRD,110152,2014
GRD,110694,2015
GRD,111219,2016
GRD,111724,2017
GRD,112207,2018
GRD,112665,2019
GTM,11051891,1999
GTM,11283176,2000
GTM,11512450,2001
GTM,11790829,2002
GTM,12077417,2003
GTM,12382276,2004
GTM,12696384,2005
GTM,13002047,2006
GTM,13300787,2007
GTM,13601259,2008
GTM,13902647,2009
GTM,14208614,2010
GTM,14516352,2011
GTM,14822007,2012
GTM,15125751,2013
GTM,15426429,2014
GTM,15723664,2015
GTM,16012280,2016
GTM,16296181,2017
GTM,16581273,2018
GTM,16867133,2019
GUY,779498,1999
GUY,784872,2000
GUY,785421,2001
GUY,781694,2002
GUY,778579,2003
GUY,778038,2004
GUY,774833,2005
GUY,768339,2006
GUY,761716,2007
GUY,755767,2008
GUY,750463,2009
GUY,745835,2010
GUY,741975,2011
GUY,738950,2012
GUY,736805,2013
GUY,735554,2014
GUY,735222,2015
GUY,735909,2016
GUY,737718,2017
GUY,740685,2018
GUY,744845,2019
HKG,6596171,1999
HKG,6655870,2000
HKG,6714968,2001
HKG,6760298,2002
HKG,6796891,2003
HKG,6847993,2004
HKG,6904226,2005
HKG,6955186,2006
HKG,7003726,2007
HKG,7036409,2008
HKG,7038760,2009
HKG,7029211,2010
HKG,7030206,2011
HKG,7050155,2012
HKG,7082316,2013
HKG,7112688,2014
HKG,7141106,2015
HKG,7167403,2016
HKG,7191503,2017
HKG,7213338,2018
HKG,7232810,2019
HND,6198223,1999
HND,6367242,2000
HND,6535344,2001
HND,6698324,2002
HND,6862657,2003
HND,7028058,2004
HND,7194127,2005
HND,7359013,2006
HND,7521702,2007
HND,7682066,2008
HND,7838603,2009
HND,7991283,2010
HND,8140864,2011
HND,8287669,2012
HND,8429445,2013
HND,8546438,2014
HND,8660816,2015
HND,8770113,2016
HND,8877729,2017
HND,9001592,2018
HND,9119204,2019
HRV,4387816,1999
HRV,4390263,2000
HRV,4418543,2001
HRV,4442298,2002
HRV,4440867,2003
HRV,4441435,2004
HRV,4441957,2005
HRV,4440594,2006
HRV,4437353,2007
HRV,4434262,2008
HRV,4428935,2009
HRV,4417475,2010
HRV,4403676,2011
HRV,4389754,2012
HRV,4375160,2013
HRV,4356748,2014
HRV,4335250,2015
HRV,4313707,2016
HRV,4292095,2017
HRV,4270480,2018
HRV,4248989,2019
HTI,8121292,1999
HTI,8279356,2000
HTI,8429925,2001
HTI,8580463,2002
HTI,8738605,2003
HTI,8900109,2004
HTI,9060501,2005
HTI,9216487,2006
HTI,9363931,2007
HTI,9507769,2008
HTI,9651771,2009
HTI,9553473,2010
HTI,9669723,2011
HTI,9793363,2012
HTI,9922183,2013
HTI,10047305,2014
HTI,10254052,2015
HTI,10485800,2016
HTI,10646714,2017
HTI,10788440,2018
HTI,10928926,2019
HUN,10171610,1999
HUN,10147425,2000
HUN,10129929,2001
HUN,10112777,2002
HUN,10091987,2003
HUN,10072608,2004
HUN,10057624,2005
HUN,10046269,2006
HUN,10034228,2007
HUN,10020481,2008
HUN,10007168,2009
HUN,9992339,2010
HUN,9976062,2011
HUN,9958453,2012
HUN,9939470,2013
HUN,9919128,2014
HUN,9897541,2015
HUN,9874784,2016
HUN,9850845,2017
HUN,9825704,2018
HUN,9799351,2019
IDN,210746403,1999
IDN,214090575,2000
IDN,217197016,2001
IDN,220276027,2002
IDN,223347627,2003
IDN,226403092,2004
IDN,229244745,2005
IDN,232199251,2006
IDN,235098987,2007
IDN,237938809,2008
IDN,240714694,2009
IDN,243422739,2010
IDN,246065161,2011
IDN,248645008,2012
IDN,251160124,2013
IDN,253609643,2014
IDN,255993674,2015
IDN,258316051,2016
IDN,260580739,2017
IDN,262787403,2018
IDN,264935824,2019
IND,989250189,1999
IND,1006300297,2000
IND,1023295084,2001
IND,1040284824,2002
IND,1057251124,2003
IND,1074159021,2004
IND,1090973030,2005
IND,1107624346,2006
IND,1124134801,2007
IND,1140566211,2008
IND,1156897766,2009
IND,1173108018,2010
IND,1189172906,2011
IND,1205073612,2012
IND,1220800359,2013
IND,1236344631,2014
IND,1251695584,2015
IND,1266883598,2016
IND,1281935911,2017
IND,1296834042,2018
IND,1311559204,2019
IRL,3774856,1999
IRL,3822196,2000
IRL,3872700,2001
IRL,3933126,2002
IRL,4002170,2003
IRL,4091162,2004
IRL,4199185,2005
IRL,4309024,2006
IRL,4419984,2007
IRL,4517706,2008
IRL,4579996,2009
IRL,4622917,2010
IRL,4670976,2011
IRL,4722028,2012
IRL,4775982,2013
IRL,4832765,2014
IRL,4892305,2015
IRL,4952473,2016
IRL,5011102,2017
IRL,5068050,2018
IRL,5123219,2019
IRN,65763053,1999
IRN,66482211,2000
IRN,67250500,2001
IRN,67780932,2002
IRN,68916744,2003
IRN,69600640,2004
IRN,70459627,2005
IRN,71306699,2006
IRN,72203143,2007
IRN,73119823,2008
IRN,74081610,2009
IRN,75034532,2010
IRN,75847232,2011
IRN,76680536,2012
IRN,77665975,2013
IRN,78783743,2014
IRN,79927977,2015
IRN,80987449,2016
IRN,82021564,2017
IRN,83024745,2018
IRN,83993282,2019
IRQ,22171592,1999
IRQ,22847371,2000
IRQ,23542818,2001
IRQ,24319418,2002
IRQ,25090242,2003
IRQ,25841445,2004
IRQ,26651220,2005
IRQ,26828612,2006
IRQ,26551660,2007
IRQ,27095777,2008
IRQ,28157014,2009
IRQ,29095205,2010
IRQ,30119040,2011
IRQ,31474213,2012
IRQ,32940723,2013
IRQ,34024875,2014
IRQ,34848254,2015
IRQ,35616832,2016
IRQ,36384298,2017
IRQ,37205005,2018
IRQ,38040428,2019
ISL,277278,1999
ISL,281038,2000
ISL,284805,2001
ISL,287448,2002
ISL,289516,2003
ISL,292078,2004
ISL,296699,2005
ISL,303734,2006
ISL,311492,2007
ISL,317363,2008
ISL,318453,2009
ISL,317924,2010
ISL,318852,2011
ISL,320533,2012
ISL,323746,2013
ISL,327872,2014
ISL,331918,2015
ISL,335878,2016
ISL,339747,2017
ISL,343518,2018
ISL,347183,2019
ISR,5942902,1999
ISR,6097408,2000
ISR,6234319,2001
ISR,6352659,2002
ISR,6475178,2003
ISR,6600852,2004
ISR,6725548,2005
ISR,6850164,2006
ISR,6975352,2007
ISR,7101746,2008
ISR,7232112,2009
ISR,7368099,2010
ISR,7507033,2011
ISR,7647578,2012
ISR,7787179,2013
ISR,7921139,2014
ISR,8049314,2015
ISR,8174527,2016
ISR,8299706,2017
ISR,8424904,2018
ISR,8550149,2019
ITA,57655529,1999
ITA,57784373,2000
ITA,57931053,2001
ITA,58076703,2002
ITA,58336021,2003
ITA,58716002,2004
ITA,59037808,2005
ITA,59272880,2006
ITA,59626720,2007
ITA,60091306,2008
ITA,60461585,2009
ITA,60748965,2010
ITA,61016804,2011
ITA,61261254,2012
ITA,61482297,2013
ITA,61680122,2014
ITA,61855120,2015
ITA,62007540,2016
ITA,62137802,2017
ITA,62246674,2018
ITA,62334799,2019
JAM,2781557,1999
JAM,2810680,2000
JAM,2835874,2001
JAM,2849475,2002
JAM,2851638,2003
JAM,2852841,2004
JAM,2853053,2005
JAM,2852242,2006
JAM,2850381,2007
JAM,2847477,2008
JAM,2843554,2009
JAM,2838638,2010
JAM,2832886,2011
JAM,2827222,2012
JAM,2822460,2013
JAM,2818663,2014
JAM,2815891,2015
JAM,2814331,2016
JAM,2813340,2017
JAM,2812090,2018
JAM,2810520,2019
JOR,4674039,1999
JOR,4785043,2000
JOR,4897811,2001
JOR,5012128,2002
JOR,5127792,2003
JOR,5253826,2004
JOR,5390895,2005
JOR,5868448,2006
JOR,6355001,2007
JOR,6512446,2008
JOR,6655519,2009
JOR,6800252,2010
JOR,6962866,2011
JOR,7077408,2012
JOR,7845504,2013
JOR,8998611,2014
JOR,9677747,2015
JOR,10041098,2016
JOR,10248069,2017
JOR,10458413,2018
JOR,10669786,2019
JPN,126512858,1999
JPN,126775612,2000
JPN,127108598,2001
JPN,127371380,2002
JPN,127552251,2003
JPN,127693749,2004
JPN,127715356,2005
JPN,127727574,2006
JPN,127779038,2007
JPN,127787736,2008
JPN,127704286,2009
JPN,127579145,2010
JPN,127469543,2011
JPN,127368088,2012
JPN,127253075,2013
JPN,127103388,2014
JPN,126919659,2015
JPN,126702133,2016
JPN,126451398,2017
JPN,126168156,2018
JPN,125853035,2019
KAZ,15709484,1999
KAZ,15687251,2000
KAZ,15736939,2001
KAZ,15802133,2002
KAZ,15882506,2003
KAZ,15988619,2004
KAZ,16122665,2005
KAZ,16283721,2006
KAZ,16459828,2007
KAZ,16649642,2008
KAZ,16863280,2009
KAZ,17084817,2010
KAZ,17304513,2011
KAZ,17522010,2012
KAZ,17736896,2013
KAZ,17948816,2014
KAZ,18157122,2015
KAZ,18360353,2016
KAZ,18556698,2017
KAZ,18744548,2018
KAZ,18923073,2019
KEN,30091755,1999
KEN,30922122,2000
KEN,31813411,2001
KEN,32756495,2002
KEN,33734178,2003
KEN,34764895,2004
KEN,35842358,2005
KEN,36969938,2006
KEN,38122070,2007
KEN,39311409,2008
KEN,40535969,2009
KEN,41764740,2010
KEN,43059798,2011
KEN,44329808,2012
KEN,45496943,2013
KEN,46663665,2014
KEN,47836120,2015
KEN,48945805,2016
KEN,50048729,2017
KEN,51201586,2018
KEN,52362765,2019
KGZ,4883113,1999
KGZ,4937128,2000
KGZ,4976833,2001
KGZ,5013962,2002
KGZ,5059349,2003
KGZ,5113537,2004
KGZ,5164248,2005
KGZ,5212766,2006
KGZ,5255561,2007
KGZ,5298689,2008
KGZ,5358180,2009
KGZ,5410468,2010
KGZ,5450776,2011
KGZ,5496737,2012
KGZ,5548042,2013
KGZ,5604212,2014
KGZ,5664939,2015
KGZ,5727553,2016
KGZ,5789122,2017
KGZ,5849296,2018
KGZ,5907966,2019
KHM,12154664,1999
KHM,12351152,2000
KHM,12539614,2001
KHM,12729204,2002
KHM,12920705,2003
KHM,13109935,2004
KHM,13297399,2005
KHM,13498711,2006
KHM,13718693,2007
KHM,13957013,2008
KHM,14206230,2009
KHM,14453680,2010
KHM,14701717,2011
KHM,14952665,2012
KHM,15205539,2013
KHM,15458332,2014
KHM,15708756,2015
KHM,15957223,2016
KHM,16204486,2017
KHM,16449519,2018
KHM,16690861,2019
KNA,45131,1999
KNA,45658,2000
KNA,46188,2001
KNA,46685,2002
KNA,47139,2003
KNA,47529,2004
KNA,47904,2005
KNA,48280,2006
KNA,48657,2007
KNA,49064,2008
KNA,49480,2009
KNA,49898,2010
KNA,50314,2011
KNA,50726,2012
KNA,51134,2013
KNA,51538,2014
KNA,51936,2015
KNA,52329,2016
KNA,52715,2017
KNA,53094,2018
KNA,53463,2019
KOR,46485422,1999
KOR,46840607,2000
KOR,47180521,2001
KOR,47437578,2002
KOR,47656117,2003
KOR,47849421,2004
KOR,47988429,2005
KOR,48163516,2006
KOR,48453272,2007
KOR,48753802,2008
KOR,49000481,2009
KOR,49258140,2010
KOR,49559043,2011
KOR,49823397,2012
KOR,50063069,2013
KOR,50345320,2014
KOR,50645073,2015
KOR,50924172,2016
KOR,51181299,2017
KOR,51418097,2018
KOR,51635813,2019
KWT,1916332,1999
KWT,1972259,2000
KWT,2027734,2001
KWT,2083305,2002
KWT,2139818,2003
KWT,2197285,2004
KWT,2256657,2005
KWT,2316880,2006
KWT,2375798,2007
KWT,2433192,2008
KWT,2489004,2009
KWT,2543172,2010
KWT,2595628,2011
KWT,2646314,2012
KWT,2695316,2013
KWT,2742711,2014
KWT,2788534,2015
KWT,2832776,2016
KWT,2875422,2017
KWT,2916467,2018
KWT,2955897,2019
LAO,5285813,1999
LAO,5397406,2000
LAO,5498518,2001
LAO,5578027,2002
LAO,5654002,2003
LAO,5746043,2004
LAO,5836357,2005
LAO,5930788,2006
LAO,6035414,2007
LAO,6145183,2008
LAO,6256865,2009
LAO,6368162,2010
LAO,6477211,2011
LAO,6586266,2012
LAO,6695166,2013
LAO,6803699,2014
LAO,6911544,2015
LAO,7019073,2016
LAO,7126706,2017
LAO,7234171,2018
LAO,7341182,2019
LBN,3791412,1999
LBN,3834478,2000
LBN,3894693,2001
LBN,3955261,2002
LBN,4016050,2003
LBN,4077336,2004
LBN,4138961,2005
LBN,4223074,2006
LBN,4334429,2007
LBN,4424106,2008
LBN,4475008,2009
LBN,4492280,2010
LBN,4511987,2011
LBN,4612387,2012
LBN,5149085,2013
LBN,5882562,2014
LBN,6184701,2015
LBN,6237738,2016
LBN,6229794,2017
LBN,6100075,2018
LBN,5847294,2019
LBR,2740658,1999
LBR,2846680,2000
LBR,2917070,2001
LBR,2978030,2002
LBR,2983448,2003
LBR,3005087,2004
LBR,3138399,2005
LBR,3310671,2006
LBR,3469165,2007
LBR,3602820,2008
LBR,3708025,2009
LBR,3817364,2010
LBR,3984084,2011
LBR,4140690,2012
LBR,4243924,2013
LBR,4348279,2014
LBR,4459961,2015
LBR,4575528,2016
LBR,4689021,2017
LBR,4809768,2018
LBR,4937804,2019
LBY,4943111,1999
LBY,5064358,2000
LBY,5184567,2001
LBY,5303093,2002
LBY,5420940,2003
LBY,5539363,2004
LBY,5658181,2005
LBY,5777140,2006
LBY,5907828,2007
LBY,6053544,2008
LBY,6207609,2009
LBY,6367346,2010
LBY,6082221,2011
LBY,5790189,2012
LBY,5950347,2013
LBY,6100968,2014
LBY,6227697,2015
LBY,6351133,2016
LBY,6483018,2017
LBY,6621594,2018
LBY,6757876,2019
LCA,152114,1999
LCA,153302,2000
LCA,154400,2001
LCA,155297,2002
LCA,156008,2003
LCA,156657,2004
LCA,157371,2005
LCA,158128,2006
LCA,158875,2007
LCA,159585,2008
LCA,160267,2009
LCA,160922,2010
LCA,161557,2011
LCA,162178,2012
LCA,162781,2013
LCA,163362,2014
LCA,163922,2015
LCA,164464,2016
LCA,164994,2017
LCA,165510,2018
LCA,166008,2019
LKA,18792874,1999
LKA,19041167,2000
LKA,19263057,2001
LKA,19478732,2002
LKA,19708717,2003
LKA,19933590,2004
LKA,20102989,2005
LKA,20311049,2006
LKA,20507595,2007
LKA,20697509,2008
LKA,20879197,2009
LKA,21083826,2010
LKA,21283913,2011
LKA,21481334,2012
LKA,21675648,2013
LKA,21866445,2014
LKA,22053488,2015
LKA,22235000,2016
LKA,22409381,2017
LKA,22576592,2018
LKA,22736505,2019
LSO,1907672,1999
LSO,1916324,2000
LSO,1922344,2001
LSO,1925636,2002
LSO,1926345,2003
LSO,1924895,2004
LSO,1922116,2005
LSO,1919198,2006
LSO,1916857,2007
LSO,1915469,2008
LSO,1916134,2009
LSO,1919552,2010
LSO,1924886,2011
LSO,1930493,2012
LSO,1936181,2013
LSO,1942008,2014
LSO,1947701,2015
LSO,1953070,2016
LSO,1958042,2017
LSO,1962461,2018
LSO,1966253,2019
LTU,3493176,1999
LTU,3489408,2000
LTU,3475394,2001
LTU,3453904,2002
LTU,3424737,2003
LTU,3384474,2004
LTU,3326634,2005
LTU,3271019,2006
LTU,3230567,2007
LTU,3195991,2008
LTU,3158759,2009
LTU,3088774,2010
LTU,3015012,2011
LTU,2973160,2012
LTU,2943364,2013
LTU,2914462,2014
LTU,2884433,2015
LTU,2854235,2016
LTU,2823859,2017
LTU,2793284,2018
LTU,2762485,2019
LUX,432439,1999
LUX,438499,2000
LUX,443831,2001
LUX,448481,2002
LUX,453937,2003
LUX,460400,2004
LUX,467463,2005
LUX,474942,2006
LUX,482297,2007
LUX,490953,2008
LUX,500087,2009
LUX,509257,2010
LUX,520556,2011
LUX,533061,2012
LUX,545474,2013
LUX,557989,2014
LUX,570252,2015
LUX,582291,2016
LUX,594130,2017
LUX,605764,2018
LUX,617185,2019
LVA,2385906,1999
LVA,2368427,2000
LVA,2350481,2001
LVA,2330425,2002
LVA,2308159,2003
LVA,2283318,2004
LVA,2258990,2005
LVA,2238543,2006
LVA,2220509,2007
LVA,2197506,2008
LVA,2161153,2009
LVA,2115339,2010
LVA,2076493,2011
LVA,2051103,2012
LVA,2029430,2013
LVA,2007730,2014
LVA,1986705,2015
LVA,1965686,2016
LVA,1944643,2017
LVA,1923559,2018
LVA,1902424,2019
MAC,427773,1999
MAC,431739,2000
MAC,434778,2001
MAC,438977,2002
MAC,444177,2003
MAC,455227,2004
MAC,474027,2005
MAC,499427,2006
MAC,525531,2007
MAC,545674,2008
MAC,559846,2009
MAC,567957,2010
MAC,573003,2011
MAC,578025,2012
MAC,583003,2013
MAC,587914,2014
MAC,592731,2015
MAC,597425,2016
MAC,601969,2017
MAC,606340,2018
MAC,610510,2019
MAR,27843592,1999
MAR,28170655,2000
MAR,28501470,2001
MAR,28835545,2002
MAR,29173064,2003
MAR,29513886,2004
MAR,29882587,2005
MAR,30277673,2006
MAR,30672215,2007
MAR,31065826,2008
MAR,31459118,2009
MAR,31852206,2010
MAR,32243898,2011
MAR,32633126,2012
MAR,33018965,2013
MAR,33400599,2014
MAR,33777405,2015
MAR,34148763,2016
MAR,34513849,2017
MAR,34871495,2018
MAR,35220854,2019
MDA,4224863,1999
MDA,4180215,2000
MDA,4135094,2001
MDA,4088890,2002
MDA,4040951,2003
MDA,3994611,2004
MDA,3948261,2005
MDA,3901080,2006
MDA,3855442,2007
MDA,3811763,2008
MDA,3770698,2009
MDA,3731799,2010
MDA,3694121,2011
MDA,3656843,2012
MDA,3619925,2013
MDA,3583288,2014
MDA,3546847,2015
MDA,3510485,2016
MDA,3474121,2017
MDA,3437720,2018
MDA,3401197,2019
MDG,15263710,1999
MDG,15712415,2000
MDG,16168611,2001
MDG,16638898,2002
MDG,17123055,2003
MDG,17621089,2004
MDG,18131781,2005
MDG,18653420,2006
MDG,19185672,2007
MDG,19728709,2008
MDG,20282443,2009
MDG,20846615,2010
MDG,21420952,2011
MDG,22005222,2012
MDG,22599098,2013
MDG,23201926,2014
MDG,23812681,2015
MDG,24430325,2016
MDG,25054161,2017
MDG,25683610,2018
MDG,26317853,2019
MDV,291480,1999
MDV,299981,2000
MDV,305913,2001
MDV,311855,2002
MDV,318490,2003
MDV,326599,2004
MDV,336248,2005
MDV,348119,2006
MDV,364968,2007
MDV,385925,2008
MDV,396334,2009
MDV,395650,2010
MDV,394999,2011
MDV,394451,2012
MDV,393988,2013
MDV,393595,2014
MDV,393253,2015
MDV,392960,2016
MDV,392709,2017
MDV,392473,2018
MDV,392217,2019
MEX,98468947,1999
MEX,99775434,2000
MEX,101125485,2001
MEX,102470489,2002
MEX,103843015,2003
MEX,105230503,2004
MEX,106576363,2005
MEX,107916378,2006
MEX,109338805,2007
MEX,110845404,2008
MEX,112426381,2009
MEX,114061440,2010
MEX,115701117,2011
MEX,117299155,2012
MEX,118818228,2013
MEX,120286655,2014
MEX,121736809,2015
MEX,123166749,2016
MEX,124574795,2017
MEX,125959205,2018
MEX,127318112,2019
MKD,2005700,1999
MKD,2017370,2000
MKD,2029420,2001
MKD,2038574,2002
MKD,2045571,2003
MKD,2051932,2004
MKD,2057226,2005
MKD,2061665,2006
MKD,2065917,2007
MKD,2069952,2008
MKD,2074492,2009
MKD,2079955,2010
MKD,2084928,2011
MKD,2089228,2012
MKD,2094132,2013
MKD,2099581,2014
MKD,2105107,2015
MKD,2110205,2016
MKD,2114760,2017
MKD,2118945,2018
MKD,2122693,2019
MLI,10572728,1999
MLI,10843590,2000
MLI,11132068,2001
MLI,11437860,2002
MLI,11761326,2003
MLI,12102276,2004
MLI,12459990,2005
MLI,12834556,2006
MLI,13225656,2007
MLI,13636273,2008
MLI,14067464,2009
MLI,14514077,2010
MLI,14993806,2011
MLI,15408711,2012
MLI,15814633,2013
MLI,16319381,2014
MLI,16834405,2015
MLI,17352160,2016
MLI,17885245,2017
MLI,18429893,2018
MLI,18985881,2019
MLT,391413,1999
MLT,394215,2000
MLT,396765,2001
MLT,399174,2002
MLT,401653,2003
MLT,404123,2004
MLT,406510,2005
MLT,407973,2006
MLT,409389,2007
MLT,412044,2008
MLT,415142,2009
MLT,417173,2010
MLT,418933,2011
MLT,422121,2012
MLT,426039,2013
MLT,430028,2014
MLT,434537,2015
MLT,439578,2016
MLT,444457,2017
MLT,449043,2018
MLT,453319,2019
MMR,46030100,1999
MMR,46641496,2000
MMR,47208843,2001
MMR,47739006,2002
MMR,48261784,2003
MMR,48771141,2004
MMR,49279344,2005
MMR,49767531,2006
MMR,50256010,2007
MMR,50617389,2008
MMR,51017774,2009
MMR,51414732,2010
MMR,51955263,2011
MMR,52523267,2012
MMR,53044727,2013
MMR,53552091,2014
MMR,54089696,2015
MMR,54616716,2016
MMR,55123814,2017
MMR,55622506,2018
MMR,56111671,2019
MNG,2432721,1999
MNG,2460815,2000
MNG,2489156,2001
MNG,2518612,2002
MNG,2546571,2003
MNG,2574146,2004
MNG,2602416,2005
MNG,2632747,2006
MNG,2666190,2007
MNG,2702400,2008
MNG,2741412,2009
MNG,2783419,2010
MNG,2826886,2011
MNG,2869964,2012
MNG,2912192,2013
MNG,2953190,2014
MNG,2992908,2015
MNG,3031330,2016
MNG,3068243,2017
MNG,3103428,2018
MNG,3136737,2019
MOZ,18148183,1999
MOZ,18498198,2000
MOZ,18865948,2001
MOZ,19249717,2002
MOZ,19648943,2003
MOZ,20060939,2004
MOZ,20488080,2005
MOZ,20934250,2006
MOZ,21396604,2007
MOZ,21889544,2008
MOZ,22427917,2009
MOZ,23012071,2010
MOZ,23654009,2011
MOZ,24329701,2012
MOZ,25009061,2013
MOZ,25695578,2014
MOZ,26386824,2015
MOZ,27087343,2016
MOZ,27809441,2017
MOZ,28556701,2018
MOZ,29321229,2019
MRT,2436909,1999
MRT,2500867,2000
MRT,2565791,2001
MRT,2631845,2002
MRT,2699242,2003
MRT,2767954,2004
MRT,2837937,2005
MRT,2909101,2006
MRT,2981452,2007
MRT,3054933,2008
MRT,3129486,2009
MRT,3205060,2010
MRT,3281634,2011
MRT,3359185,2012
MRT,3437610,2013
MRT,3516806,2014
MRT,3596702,2015
MRT,3677293,2016
MRT,3758571,2017
MRT,3840429,2018
MRT,3922758,2019
MUS,1173129,1999
MUS,1185932,2000
MUS,1197878,2001
MUS,1209590,2002
MUS,1221004,2003
MUS,1232059,2004
MUS,1242821,2005
MUS,1253425,2006
MUS,1263899,2007
MUS,1274189,2008
MUS,1284264,2009
MUS,1294104,2010
MUS,1303717,2011
MUS,1313095,2012
MUS,1322238,2013
MUS,1331155,2014
MUS,1339827,2015
MUS,1348242,2016
MUS,1356388,2017
MUS,1364283,2018
MUS,1371946,2019
MWI,10839431,1999
MWI,11129225,2000
MWI,11435630,2001
MWI,11761078,2002
MWI,12107029,2003
MWI,12473490,2004
MWI,12863421,2005
MWI,13278889,2006
MWI,13719274,2007
MWI,14184967,2008
MWI,14673498,2009
MWI,15182821,2010
MWI,15709663,2011
MWI,16250624,2012
MWI,16806366,2013
MWI,17377468,2014
MWI,17964697,2015
MWI,18570321,2016
MWI,19196246,2017
MWI,19842560,2018
MWI,20509317,2019
MYS,22553411,1999
MYS,23151284,2000
MYS,23737357,2001
MYS,24282607,2002
MYS,24880396,2003
MYS,25475465,2004
MYS,25968120,2005
MYS,26432158,2006
MYS,26895559,2007
MYS,27357758,2008
MYS,27817866,2009
MYS,28274729,2010
MYS,28728607,2011
MYS,29179952,2012
MYS,29628392,2013
MYS,30073353,2014
MYS,30513848,2015
MYS,30949962,2016
MYS,31381992,2017
MYS,31809660,2018
MYS,32233022,2019
NAM,1825962,1999
NAM,1877985,2000
NAM,1929718,2001
NAM,1964738,2002
NAM,1991740,2003
NAM,2017940,2004
NAM,2043307,2005
NAM,2068919,2006
NAM,2095803,2007
NAM,2123842,2008
NAM,2152941,2009
NAM,2183015,2010
NAM,2213988,2011
NAM,2249438,2012
NAM,2292905,2013
NAM,2340492,2014
NAM,2388360,2015
NAM,2436469,2016
NAM,2484780,2017
NAM,2533224,2018
NAM,2581689,2019
NER,10386330,1999
NER,10746200,2000
NER,11129946,2001
NER,11538333,2002
NER,11971159,2003
NER,12427028,2004
NER,12906819,2005
NER,13409910,2006
NER,13935180,2007
NER,14478625,2008
NER,15036736,2009
NER,15611171,2010
NER,16203593,2011
NER,16841191,2012
NER,17504735,2013
NER,18175709,2014
NER,18889124,2015
NER,19638820,2016
NER,20391729,2017
NER,21157674,2018
NER,21953171,2019
NGA,122200766,1999
NGA,125580732,2000
NGA,129095414,2001
NGA,132764863,2002
NGA,136588370,2003
NGA,140535845,2004
NGA,144568781,2005
NGA,148693754,2006
NGA,152891059,2007
NGA,157151867,2008
NGA,161490795,2009
NGA,165904805,2010
NGA,170393454,2011
NGA,174951835,2012
NGA,179570054,2013
NGA,184219070,2014
NGA,188859688,2015
NGA,193498305,2016
NGA,198346055,2017
NGA,203452505,2018
NGA,208679114,2019
NIC,4777854,1999
NIC,4866172,2000
NIC,4952226,2001
NIC,5035653,2002
NIC,5116137,2003
NIC,5193390,2004
NIC,5267146,2005
NIC,5338287,2006
NIC,5407784,2007
NIC,5475502,2008
NIC,5541165,2009
NIC,5604452,2010
NIC,5666301,2011
NIC,5727707,2012
NIC,5788531,2013
NIC,5848641,2014
NIC,5907881,2015
NIC,5966798,2016
NIC,6025951,2017
NIC,6085213,2018
NIC,6144442,2019
NLD,15819914,1999
NLD,15930181,2000
NLD,16046805,2001
NLD,16145467,2002
NLD,16216609,2003
NLD,16266338,2004
NLD,16299097,2005
NLD,16320437,2006
NLD,16351022,2007
NLD,16410055,2008
NLD,16490410,2009
NLD,16573840,2010
NLD,16653734,2011
NLD,16730632,2012
NLD,16805037,2013
NLD,16877351,2014
