country,population,year
BEN,7130417,2002
BEN,7359670,2003
BEN,7589367,2004
BEN,7838059,2005
BEN,8088622,2006
BEN,8335294,2007
BEN,8602647,2008
BEN,8884101,2009
BEN,9178580,2010
BEN,9485969,2011
BEN,9805000,2012
BEN,10134821,2013
BEN,10479670,2014
BEN,10841707,2015
BEN,11220072,2016
BEN,11612983,2017
BEN,12017978,2018
BEN,12435073,2019
BFA,11099130,1999
BFA,11430022,2000
BFA,11853834,2001
BFA,12406620,2002
BFA,12857170,2003
BFA,13206560,2004
BFA,13569965,2005
BFA,13947108,2006
BFA,14340736,2007
BFA,14753815,2008
BFA,15185326,2009
BFA,15633854,2010
BFA,16098955,2011
BFA,16599121,2012
BFA,17109478,2013
BFA,17613855,2014
BFA,18133363,2015
BFA,18662035,2016
BFA,19199732,2017
BFA,19742715,2018
BFA,20288052,2019
BGD,126541747,1999
BGD,128734672,2000
BGD,130845545,2001
BGD,132901054,2002
BGD,134884606,2003
BGD,136788684,2004
BGD,138605601,2005
BGD,140353878,2006
BGD,141950868,2007
BGD,143398838,2008
BGD,144954330,2009
BGD,146615872,2010
BGD,148248955,2011
BGD,149867054,2012
BGD,151466689,2013
BGD,153044873,2014
BGD,154596024,2015
BGD,156186882,2016
BGD,157826578,2017
BGD,159453001,2018
BGD,161062905,2019
BGR,7968514,1999
BGR,7908664,2000
BGR,7846982,2001
BGR,7784233,2002
BGR,7722734,2003
BGR,7665631,2004
BGR,7611110,2005
BGR,7558417,2006
BGR,7509498,2007
BGR,7465355,2008
BGR,7427946,2009
BGR,7391079,2010
BGR,7350504,2011
BGR,7308613,2012
BGR,7267961,2013
BGR,7228183,2014
BGR,7186893,2015
BGR,7144653,2016
BGR,7101510,2017
BGR,7057504,2018
BGR,7012640,2019
BHR,639964,1999
BHR,654861,2000
BHR,672086,2001
BHR,714831,2002
BHR,781004,2003
BHR,848123,2004
BHR,915966,2005
BHR,984393,2006
BHR,1053582,2007
BHR,1107292,2008
BHR,1144365,2009
BHR,1180080,2010
BHR,1214705,2011
BHR,1248348,2012
BHR,1281332,2013
BHR,1314089,2014
BHR,1346613,2015
BHR,1378904,2016
BHR,1410942,2017
BHR,1442659,2018
BHR,1474016,2019
BHS,279305,1999
BHS,282591,2000
BHS,285685,2001
BHS,288579,2002
BHS,291347,2003
BHS,294064,2004
BHS,296708,2005
BHS,299288,2006
BHS,301972,2007
BHS,304727,2008
BHS,307552,2009
BHS,310426,2010
BHS,313312,2011
BHS,316182,2012
BHS,319031,2013
BHS,321834,2014
BHS,324597,2015
BHS,327316,2016
BHS,329988,2017
BHS,332634,2018
BHS,335210,2019
BIH,3717232,1999
BIH,3805512,2000
BIH,3822357,2001
BIH,3826637,2002
BIH,3842733,2003
BIH,3876893,2004
BIH,3893097,2005
