country,expectancy,year
BDI,59.665,2014
BDI,60.123,2015
BDI,60.528,2016
BDI,60.898,2017
BDI,61.247,2018
BDI,61.584,2019
BEL,77.6195122,1999
BEL,77.72195122,2000
BEL,77.97317073,2001
BEL,78.07560976,2002
BEL,78.12926829,2003
BEL,78.87804878,2004
BEL,78.9804878,2005
BEL,79.3804878,2006
BEL,79.78292683,2007
BEL,79.6804878,2008
BEL,80.03414634,2009
BEL,80.18292683,2010
BEL,80.58536585,2011
BEL,80.38536585,2012
BEL,80.58780488,2013
BEL,81.28780488,2014
BEL,80.99268293,2015
BEL,81.43902439,2016
BEL,81.49268293,2017
BEL,81.59512195,2018
BEL,81.74634146,2019
BEN,55.218,1999
BEN,55.391,2000
BEN,55.668,2001
BEN,56.025,2002
BEN,56.436,2003
BEN,56.887,2004
BEN,57.355,2005
BEN,57.817,2006
BEN,58.255,2007
BEN,58.654,2008
BEN,59.009,2009
BEN,59.318,2010
BEN,59.59,2011
BEN,59.842,2012
BEN,60.092,2013
BEN,60.345,2014
BEN,60.608,2015
BEN,60.885,2016
BEN,61.174,2017
BEN,61.47,2018
BEN,61.771,2019
BFA,50.168,1999
BFA,50.489,2000
BFA,50.893,2001
BFA,51.384,2002
BFA,51.956,2003
BFA,52.602,2004
BFA,53.31,2005
BFA,54.063,2006
BFA,54.841,2007
BFA,55.618,2008
BFA,56.377,2009
BFA,57.096,2010
BFA,57.761,2011
BFA,58.374,2012
BFA,58.937,2013
BFA,59.45,2014
BFA,59.919,2015
BFA,60.354,2016
BFA,60.768,2017
BFA,61.174,2018
BFA,61.577,2019
BGD,64.881,1999
BGD,65.447,2000
BGD,65.956,2001
BGD,66.43,2002
BGD,66.886,2003
BGD,67.331,2004
BGD,67.773,2005
BGD,68.213,2006
BGD,68.648,2007
BGD,69.072,2008
BGD,69.485,2009
BGD,69.881,2010
BGD,70.256,2011
BGD,70.606,2012
BGD,70.93,2013
BGD,71.231,2014
BGD,71.514,2015
BGD,71.785,2016
BGD,72.052,2017
BGD,72.32,2018
BGD,72.591,2019
BGR,71.41219512,1999
BGR,71.66341463,2000
BGR,71.76829268,2001
BGR,71.86585366,2002
BGR,72.06585366,2003
BGR,72.56341463,2004
BGR,72.56097561,2005
BGR,72.61219512,2006
BGR,72.66341463,2007
BGR,72.96341463,2008
BGR,73.41219512,2009
BGR,73.51219512,2010
BGR,74.16341463,2011
BGR,74.31463415,2012
BGR,74.86097561,2013
BGR,74.46585366,2014
BGR,74.61463415,2015
BGR,74.81219512,2016
BGR,74.81463415,2017
BGR,74.96341463,2018
BGR,74.91463415,2019
BHR,74.239,1999
BHR,74.44,2000
BHR,74.635,2001
BHR,74.822,2002
BHR,74.999,2003
BHR,75.167,2004
BHR,75.326,2005
BHR,75.478,2006
BHR,75.625,2007
BHR,75.77,2008
BHR,75.913,2009
BHR,76.057,2010
BHR,76.2,2011
BHR,76.342,2012
BHR,76.484,2013
BHR,76.624,2014
BHR,76.762,2015
BHR,76.899,2016
BHR,77.032,2017
BHR,77.163,2018
BHR,77.292,2019
BHS,71.858,1999
BHS,71.914,2000
BHS,71.954,2001
BHS,71.977,2002
BHS,71.986,2003
BHS,71.988,2004
BHS,71.987,2005
BHS,71.988,2006
BHS,71.998,2007
BHS,72.022,2008
BHS,72.067,2009
BHS,72.144,2010
BHS,72.263,2011
BHS,72.424,2012
BHS,72.62,2013
BHS,72.847,2014
BHS,73.088,2015
BHS,73.329,2016
BHS,73.554,2017
BHS,73.752,2018
BHS,73.918,2019
BIH,74.05,1999
BIH,74.403,2000
BIH,74.637,2001
BIH,74.803,2002
BIH,74.941,2003
BIH,75.068,2004
BIH,75.198,2005
BIH,75.342,2006
BIH,75.498,2007
BIH,75.665,2008
BIH,75.844,2009
BIH,76.031,2010
BIH,76.219,2011
BIH,76.401,2012
BIH,76.569,2013
BIH,76.723,2014
BIH,76.865,2015
BIH,76.998,2016
BIH,77.128,2017
BIH,77.262,2018
BIH,77.401,2019
BLR,67.90731707,1999
BLR,68.91219512,2000
BLR,68.50731707,2001
BLR,68.05609756,2002
BLR,68.55365854,2003
BLR,68.95609756,2004
BLR,68.85121951,2005
BLR,69.40487805,2006
BLR,70.20731707,2007
BLR,70.45609756,2008
BLR,70.40731707,2009
BLR,70.40487805,2010
BLR,70.55365854,2011
BLR,71.96585366,2012
BLR,72.47073171,2013
BLR,72.97073171,2014
BLR,73.62439024,2015
BLR,73.82682927,2016
BLR,74.12926829,2017
BLR,74.17560976,2018
BLR,74.22682927,2019
BLZ,68.734,1999
BLZ,68.847,2000
BLZ,69.04,2001
BLZ,69.272,2002
BLZ,69.511,2003
BLZ,69.749,2004
BLZ,69.998,2005
BLZ,70.286,2006
BLZ,70.636,2007
BLZ,71.059,2008
BLZ,71.541,2009
BLZ,72.057,2010
BLZ,72.57,2011
BLZ,73.044,2012
BLZ,73.452,2013
BLZ,73.782,2014
BLZ,74.034,2015
BLZ,74.219,2016
BLZ,74.365,2017
BLZ,74.496,2018
BLZ,74.623,2019
BMU,,1999
BMU,77.88536585,2000
